VALUE, SEQ, DICHO
803, 0.02326, 0.00000
804, 0.00185, 0.00000
805, 0.01086, 0.00010
806, 0.00130, 0.00000
807, 0.02512, 0.00000
808, 0.00926, 0.00000
809, 0.02557, 0.00000
810, 0.00500, 0.00000
811, 0.02246, 0.00000
812, 0.01396, 0.00000
813, 0.00050, 0.00000
814, 0.01195, 0.00000
815, 0.02436, 0.00000
816, 0.00380, 0.00000
817, 0.02482, 0.00010
818, 0.00340, 0.00000
819, 0.01205, 0.00000
820, 0.02037, 0.00000
821, 0.02318, 0.00000
822, 0.01130, 0.00000
823, 0.02282, 0.00010
824, 0.02327, 0.00000
825, 0.00535, 0.00000
826, 0.01585, 0.00000
827, 0.02496, 0.00000
828, 0.02306, 0.00000
829, 0.00565, 0.00000
830, 0.00906, 0.00000
831, 0.00600, 0.00000
832, 0.00190, 0.00000
833, 0.00375, 0.00000
834, 0.00570, 0.00000
835, 0.02492, 0.00000
836, 0.00120, 0.00000
837, 0.02311, 0.00000
838, 0.02386, 0.00000
839, 0.02340, 0.00000
840, 0.01275, 0.00010
841, 0.02566, 0.00000
842, 0.00685, 0.00000
843, 0.01156, 0.00000
844, 0.02408, 0.00000
845, 0.02321, 0.00000
846, 0.00211, 0.00000
847, 0.00520, 0.00010
848, 0.03096, 0.00000
849, 0.02781, 0.00000
850, 0.01531, 0.00000
851, 0.00140, 0.00010
852, 0.00770, 0.00010
853, 0.00715, 0.00000
854, 0.00110, 0.00000
855, 0.02471, 0.00000
856, 0.02160, 0.00000
857, 0.00815, 0.00000
858, 0.02300, 0.00000
859, 0.01015, 0.00000
860, 0.02359, 0.00000
861, 0.02051, 0.00000
862, 0.02451, 0.00000
863, 0.01095, 0.00000
864, 0.00625, 0.00000
865, 0.00854, 0.00000
866, 0.02266, 0.00000
867, 0.02566, 0.00000
868, 0.02276, 0.00000
869, 0.02110, 0.00000
870, 0.00070, 0.00000
871, 0.00630, 0.00000
872, 0.02371, 0.00000
873, 0.02131, 0.00000
874, 0.01720, 0.00000
875, 0.02440, 0.00000
876, 0.01880, 0.00000
877, 0.00675, 0.00000
878, 0.01265, 0.00000
879, 0.01540, 0.00000
880, 0.02585, 0.00000
881, 0.00450, 0.00000
882, 0.00885, 0.00010
883, 0.01952, 0.00000
884, 0.00365, 0.00000
885, 0.02291, 0.00000
886, 0.02498, 0.00000
887, 0.02316, 0.00000
